noise_level,lambda,image,psnr,ssim
0.005,0.0025,00000700.jpg,32.03049391250985,0.88357157
0.005,0.0025,00000734.jpg,37.73904729096864,0.95524806
0.005,0.0025,00000815.jpg,33.1437962165637,0.88976604
0.005,0.0025,00000893.jpg,41.09825486766595,0.9708597
0.005,0.0025,00000895.jpg,27.175927444703195,0.8740569
0.005,0.0025,00000942.jpg,34.99119845320847,0.9252743
0.005,0.0025,00001300.jpg,25.304745990208545,0.80934614
0.005,0.0025,00001446.jpg,33.54982254518477,0.91121644
0.005,0.0025,00001484.jpg,29.84869049868971,0.8591935
0.005,0.0025,00001549.jpg,25.66587862107975,0.77435845
0.005,0.0025,00001618.jpg,33.7983920901285,0.8905308
0.005,0.0025,00001750.jpg,28.922654580012622,0.779156
0.005,0.0025,00001917.jpg,37.35206451239848,0.9422746
0.005,0.0025,00001936.jpg,37.051326962068366,0.92884463
0.005,0.0025,00001953.jpg,36.527074386314496,0.935322
0.005,0.0025,00001960.jpg,36.43203981629429,0.9304672
0.005,0.0025,00002025.jpg,34.51992030498989,0.91374165
0.005,0.0025,00002035.jpg,31.84073640049526,0.8589584
0.005,0.0025,00002066.jpg,40.74450525511372,0.9684887
0.005,0.0025,00002068.jpg,32.274532532621706,0.8897942
0.005,0.0025,00002083.jpg,34.63830069128312,0.9274988
0.005,0.0025,00002194.jpg,36.346620168687,0.9223158
0.005,0.0025,00002258.jpg,29.742358997583295,0.83353925
0.005,0.0025,00002281.jpg,31.739992814231535,0.87100124
0.005,0.0025,00002371.jpg,37.28091555551539,0.9407379
0.005,0.0025,00002645.jpg,32.4284366769042,0.88102937
0.005,0.0025,00002754.jpg,27.929218973743033,0.799
0.005,0.0025,00002920.jpg,29.91137215625557,0.81557125
0.005,0.0025,00003030.jpg,19.471543352908235,0.6430414
0.005,0.0025,00003059.jpg,23.992791720966864,0.84627634
0.005,0.0025,00003071.jpg,19.36559468566163,0.5845259
0.005,0.0025,00003096.jpg,28.68376983216677,0.76711637
0.005,0.0025,00003148.jpg,25.046146565097764,0.73261076
0.005,0.0025,00003301.jpg,27.322796344845326,0.81565976
0.005,0.0025,00003534.jpg,31.811829787721674,0.9014802
0.005,0.0025,00003865.jpg,31.347951652778313,0.88737947
0.005,0.0025,00003963.jpg,27.806310125291574,0.84192115
0.005,0.0025,00003976.jpg,31.458894291709505,0.86288995
0.005,0.0025,00004041.jpg,28.601734074068368,0.87124014
0.005,0.0025,00004189.jpg,32.00230540289388,0.88290673
0.005,0.0025,00004207.jpg,31.941846459230653,0.89443547
0.005,0.0025,00004234.jpg,30.722516383219766,0.89845496
0.005,0.0025,00004239.jpg,31.96218540594174,0.89414686
0.005,0.0025,00004268.jpg,23.255365256087725,0.6397471
0.005,0.0025,00004320.jpg,31.289628692507385,0.89139014
0.005,0.0025,00004340.jpg,34.769705578962245,0.92695117
0.005,0.0025,00004410.jpg,30.051622295078598,0.8795828
0.005,0.0025,00004566.jpg,29.873152448530593,0.86031246
0.005,0.0025,00004575.jpg,32.08257285547275,0.9003487
0.005,0.0025,00004585.jpg,29.104787089235007,0.8311445
0.005,0.0025,00004668.jpg,28.821801364054668,0.81184584
0.005,0.0025,00004856.jpg,33.50686065545983,0.9231796
0.005,0.0025,00004905.jpg,31.78892817804194,0.88933676
0.005,0.0025,00004991.jpg,31.183501231180255,0.87258524
0.005,0.0025,00005011.jpg,30.642924300684204,0.8464851
0.005,0.0025,00005107.jpg,29.406512103395656,0.82921433
0.005,0.0025,00005317.jpg,28.76735539158343,0.81800383
0.005,0.0025,00005378.jpg,31.660457012479903,0.8601866
0.005,0.0025,00005487.jpg,28.74756923864308,0.8205128
0.005,0.0025,00005725.jpg,31.918287714116374,0.82835454
0.005,0.0025,00005736.jpg,31.794155251464776,0.8888164
0.005,0.0025,00005893.jpg,29.10455259277328,0.76922774
0.005,0.0025,00007472.jpg,29.67801551520841,0.853003
0.005,0.0025,00007673.jpg,33.93604597010284,0.9245116
0.005,0.0025,00007911.jpg,32.45893918626471,0.8866837
0.005,0.0025,00007995.jpg,28.091908553154894,0.8266112
0.005,0.0025,00008036.jpg,31.132719205005692,0.88851947
0.005,0.0025,00008103.jpg,33.36551786902384,0.89011645
0.005,0.0025,00008115.jpg,31.721760921256617,0.87534803
0.005,0.0025,00008209.jpg,35.92959592365008,0.9212616
0.005,0.0025,00008215.jpg,31.863258197204317,0.8904435
0.005,0.0025,00008400.jpg,31.246913361530908,0.8357949
0.005,0.0025,00008553.jpg,31.2759170476301,0.8208571
0.005,0.0025,00008710.jpg,29.122420421732134,0.77997136
0.005,0.0025,00008747.jpg,31.7944234957684,0.8800426
0.005,0.0025,00008858.jpg,33.02121488552242,0.886894
0.005,0.0025,00008919.jpg,29.434670654120684,0.82624674
0.005,0.0025,00008937.jpg,30.883535943667898,0.85814744
0.005,0.0025,00009231.jpg,29.648565142688753,0.8535254
0.005,0.0025,00009252.jpg,29.788823709911384,0.85709876
0.01,0.0034999999999999996,00000700.jpg,31.826697894939468,0.87899023
0.01,0.0034999999999999996,00000734.jpg,37.6399701780255,0.9528745
0.01,0.0034999999999999996,00000815.jpg,33.10975148876646,0.88924223
0.01,0.0034999999999999996,00000893.jpg,40.78256294777084,0.96803707
0.01,0.0034999999999999996,00000895.jpg,26.92741757422246,0.8663314
0.01,0.0034999999999999996,00000942.jpg,34.805855839937465,0.921608
0.01,0.0034999999999999996,00001300.jpg,25.107054062271665,0.79991674
0.01,0.0034999999999999996,00001446.jpg,33.27660174844273,0.9044521
0.01,0.0034999999999999996,00001484.jpg,29.636137342111354,0.85275537
0.01,0.0034999999999999996,00001549.jpg,25.342052401225857,0.7561264
0.01,0.0034999999999999996,00001618.jpg,33.71619064409706,0.88744694
0.01,0.0034999999999999996,00001750.jpg,28.78446288044559,0.7717778
0.01,0.0034999999999999996,00001917.jpg,37.13743653795422,0.93976504
0.01,0.0034999999999999996,00001936.jpg,36.85499395045384,0.9252363
0.01,0.0034999999999999996,00001953.jpg,36.30686346507395,0.9312964
0.01,0.0034999999999999996,00001960.jpg,36.331543873039266,0.92652625
0.01,0.0034999999999999996,00002025.jpg,34.441868869661306,0.9102302
0.01,0.0034999999999999996,00002035.jpg,31.61420995460791,0.8520159
0.01,0.0034999999999999996,00002066.jpg,40.53845185869582,0.96594626
0.01,0.0034999999999999996,00002068.jpg,32.100882973628494,0.88372105
0.01,0.0034999999999999996,00002083.jpg,34.570589734665646,0.9218037
0.01,0.0034999999999999996,00002194.jpg,36.189901788002146,0.91799754
0.01,0.0034999999999999996,00002258.jpg,29.58416156096262,0.8260358
0.01,0.0034999999999999996,00002281.jpg,31.44328462301266,0.8644307
0.01,0.0034999999999999996,00002371.jpg,36.96499434955969,0.93623906
0.01,0.0034999999999999996,00002645.jpg,32.35756736807086,0.8785066
0.01,0.0034999999999999996,00002754.jpg,27.803181352338303,0.79395896
0.01,0.0034999999999999996,00002920.jpg,29.79420446789848,0.8071265
0.01,0.0034999999999999996,00003030.jpg,19.23825604567505,0.62760735
0.01,0.0034999999999999996,00003059.jpg,23.588815321148374,0.83486456
0.01,0.0034999999999999996,00003071.jpg,19.120143118345986,0.5642173
0.01,0.0034999999999999996,00003096.jpg,28.491978436154042,0.75435764
0.01,0.0034999999999999996,00003148.jpg,24.899162860316405,0.721441
0.01,0.0034999999999999996,00003301.jpg,27.136398609759077,0.81048137
0.01,0.0034999999999999996,00003534.jpg,31.866595160150602,0.89819384
0.01,0.0034999999999999996,00003865.jpg,31.062565947276216,0.8813123
0.01,0.0034999999999999996,00003963.jpg,27.557109587534995,0.8339339
0.01,0.0034999999999999996,00003976.jpg,31.298600718839943,0.8579445
0.01,0.0034999999999999996,00004041.jpg,28.364353082525852,0.86389154
0.01,0.0034999999999999996,00004189.jpg,31.820072116124187,0.8774983
0.01,0.0034999999999999996,00004207.jpg,31.63518461333719,0.8880756
0.01,0.0034999999999999996,00004234.jpg,30.412325145292627,0.8930064
0.01,0.0034999999999999996,00004239.jpg,31.89846555110798,0.891843
0.01,0.0034999999999999996,00004268.jpg,22.922768906455104,0.6210255
0.01,0.0034999999999999996,00004320.jpg,31.14068906884194,0.8873705
0.01,0.0034999999999999996,00004340.jpg,34.58730644815989,0.9242131
0.01,0.0034999999999999996,00004410.jpg,29.754076754185128,0.87184244
0.01,0.0034999999999999996,00004566.jpg,29.61987312434563,0.85306495
0.01,0.0034999999999999996,00004575.jpg,31.69308599775792,0.8940788
0.01,0.0034999999999999996,00004585.jpg,28.914176125199305,0.82675767
0.01,0.0034999999999999996,00004668.jpg,28.679534955844726,0.804332
0.01,0.0034999999999999996,00004856.jpg,33.22323892303374,0.9183627
0.01,0.0034999999999999996,00004905.jpg,31.5055264450583,0.8819415
0.01,0.0034999999999999996,00004991.jpg,31.106989373890354,0.8686107
0.01,0.0034999999999999996,00005011.jpg,30.56921586128475,0.8454949
0.01,0.0034999999999999996,00005107.jpg,29.30091933122121,0.8246155
0.01,0.0034999999999999996,00005317.jpg,28.707298875406547,0.8116035
0.01,0.0034999999999999996,00005378.jpg,31.569003055734104,0.85584337
0.01,0.0034999999999999996,00005487.jpg,28.66261544482803,0.8154351
0.01,0.0034999999999999996,00005725.jpg,31.81838228368996,0.8239069
0.01,0.0034999999999999996,00005736.jpg,31.464510676682366,0.8819444
0.01,0.0034999999999999996,00005893.jpg,28.920493982330004,0.7612489
0.01,0.0034999999999999996,00007472.jpg,29.603510839143485,0.84921294
0.01,0.0034999999999999996,00007673.jpg,33.78927739675851,0.9218592
0.01,0.0034999999999999996,00007911.jpg,32.3485285502919,0.88118106
0.01,0.0034999999999999996,00007995.jpg,27.744893167543097,0.8163298
0.01,0.0034999999999999996,00008036.jpg,31.0578449982552,0.88612837
0.01,0.0034999999999999996,00008103.jpg,33.19330751168198,0.88658875
0.01,0.0034999999999999996,00008115.jpg,31.6679223375192,0.8735649
0.01,0.0034999999999999996,00008209.jpg,35.79997164979755,0.9185068
0.01,0.0034999999999999996,00008215.jpg,31.811298450006692,0.88888663
0.01,0.0034999999999999996,00008400.jpg,31.336364119383976,0.83366925
0.01,0.0034999999999999996,00008553.jpg,31.094177494549037,0.8122284
0.01,0.0034999999999999996,00008710.jpg,29.022381730800156,0.7725837
0.01,0.0034999999999999996,00008747.jpg,31.56425336425821,0.87463546
0.01,0.0034999999999999996,00008858.jpg,32.92869721641247,0.8842965
0.01,0.0034999999999999996,00008919.jpg,29.246173706678814,0.8211872
0.01,0.0034999999999999996,00008937.jpg,30.73466550962557,0.85207963
0.01,0.0034999999999999996,00009231.jpg,29.52920566947386,0.85174626
0.01,0.0034999999999999996,00009252.jpg,29.63174855303737,0.8512003
0.05,0.017499999999999998,00000700.jpg,29.818932779744422,0.81220895
0.05,0.017499999999999998,00000734.jpg,33.76028146897382,0.88737005
0.05,0.017499999999999998,00000815.jpg,30.900061870260288,0.81645775
0.05,0.017499999999999998,00000893.jpg,36.169224426932914,0.89722246
0.05,0.017499999999999998,00000895.jpg,25.35735498084486,0.7925167
0.05,0.017499999999999998,00000942.jpg,32.02774673094199,0.8509423
0.05,0.017499999999999998,00001300.jpg,24.022066826803623,0.70894176
0.05,0.017499999999999998,00001446.jpg,30.914616182790905,0.8228318
0.05,0.017499999999999998,00001484.jpg,27.70002051110316,0.76848006
0.05,0.017499999999999998,00001549.jpg,23.540849033729224,0.64960486
0.05,0.017499999999999998,00001618.jpg,31.53455919710258,0.80581874
0.05,0.017499999999999998,00001750.jpg,27.438488138327738,0.6863813
0.05,0.017499999999999998,00001917.jpg,33.90812657042436,0.8714662
0.05,0.017499999999999998,00001936.jpg,33.925596152575,0.850265
0.05,0.017499999999999998,00001953.jpg,33.420567504073276,0.85731936
0.05,0.017499999999999998,00001960.jpg,33.13770622201753,0.8529561
0.05,0.017499999999999998,00002025.jpg,31.664800551714173,0.8346457
0.05,0.017499999999999998,00002035.jpg,29.695241154277504,0.76927906
0.05,0.017499999999999998,00002066.jpg,35.60796941559754,0.8967252
0.05,0.017499999999999998,00002068.jpg,29.971750275593934,0.81180125
0.05,0.017499999999999998,00002083.jpg,31.621308248101382,0.84498817
0.05,0.017499999999999998,00002194.jpg,33.278518024790536,0.85105747
0.05,0.017499999999999998,00002258.jpg,28.219322235620044,0.7548836
0.05,0.017499999999999998,00002281.jpg,29.74945792017082,0.78545433
0.05,0.017499999999999998,00002371.jpg,33.67584628632347,0.87093467
0.05,0.017499999999999998,00002645.jpg,30.476615149065207,0.8139679
0.05,0.017499999999999998,00002754.jpg,26.247324485297604,0.70631665
0.05,0.017499999999999998,00002920.jpg,28.45263847627461,0.72607166
0.05,0.017499999999999998,00003030.jpg,17.669019847983915,0.5035972
0.05,0.017499999999999998,00003059.jpg,21.734371046829402,0.7635315
0.05,0.017499999999999998,00003071.jpg,17.639727768860297,0.43467966
0.05,0.017499999999999998,00003096.jpg,27.19174318371776,0.64991015
0.05,0.017499999999999998,00003148.jpg,23.87305823979851,0.6315194
0.05,0.017499999999999998,00003301.jpg,25.730317058848712,0.7295379
0.05,0.017499999999999998,00003534.jpg,29.484594250828433,0.8302562
0.05,0.017499999999999998,00003865.jpg,29.348674532822237,0.8116905
0.05,0.017499999999999998,00003963.jpg,25.69301109813242,0.7491758
0.05,0.017499999999999998,00003976.jpg,29.423772982012814,0.78116965
0.05,0.017499999999999998,00004041.jpg,26.252127231702367,0.7745018
0.05,0.017499999999999998,00004189.jpg,29.858329949650336,0.81465673
0.05,0.017499999999999998,00004207.jpg,29.427362176887236,0.81849813
0.05,0.017499999999999998,00004234.jpg,28.357382804862613,0.8291828
0.05,0.017499999999999998,00004239.jpg,29.58036151721085,0.8246854
0.05,0.017499999999999998,00004268.jpg,21.378312300242357,0.506131
0.05,0.017499999999999998,00004320.jpg,28.68374294762802,0.8137064
0.05,0.017499999999999998,00004340.jpg,32.12092391487184,0.856921
0.05,0.017499999999999998,00004410.jpg,28.03313420527133,0.79917437
0.05,0.017499999999999998,00004566.jpg,27.800443581497916,0.7784186
0.05,0.017499999999999998,00004575.jpg,29.770417897828153,0.8277652
0.05,0.017499999999999998,00004585.jpg,27.471248797311535,0.7653172
0.05,0.017499999999999998,00004668.jpg,27.274974906117663,0.7241948
0.05,0.017499999999999998,00004856.jpg,30.552076489806606,0.8605523
0.05,0.017499999999999998,00004905.jpg,29.39818021395871,0.8033855
0.05,0.017499999999999998,00004991.jpg,29.19652945090143,0.7954615
0.05,0.017499999999999998,00005011.jpg,28.747121753210997,0.7753748
0.05,0.017499999999999998,00005107.jpg,27.770262037033756,0.75080365
0.05,0.017499999999999998,00005317.jpg,27.180922968553993,0.7244728
0.05,0.017499999999999998,00005378.jpg,29.798067051074455,0.7843375
0.05,0.017499999999999998,00005487.jpg,27.152654458026117,0.7378389
0.05,0.017499999999999998,00005725.jpg,30.216616318115143,0.7490371
0.05,0.017499999999999998,00005736.jpg,29.390229368739934,0.8034602
0.05,0.017499999999999998,00005893.jpg,27.67590029281223,0.6830618
0.05,0.017499999999999998,00007472.jpg,28.256256562418912,0.7842283
0.05,0.017499999999999998,00007673.jpg,31.4686561251742,0.86089677
0.05,0.017499999999999998,00007911.jpg,30.42918051911024,0.8072998
0.05,0.017499999999999998,00007995.jpg,25.540919993268545,0.7343049
0.05,0.017499999999999998,00008036.jpg,29.336889516726412,0.82406837
0.05,0.017499999999999998,00008103.jpg,30.995515083878963,0.8200142
0.05,0.017499999999999998,00008115.jpg,30.142685695456596,0.80934596
0.05,0.017499999999999998,00008209.jpg,33.49861944646243,0.85841495
0.05,0.017499999999999998,00008215.jpg,30.022711319095055,0.8237042
0.05,0.017499999999999998,00008400.jpg,29.97608785521162,0.76329786
0.05,0.017499999999999998,00008553.jpg,29.460738104603514,0.7282941
0.05,0.017499999999999998,00008710.jpg,27.53557473439789,0.69411963
0.05,0.017499999999999998,00008747.jpg,29.672362705848908,0.8074119
0.05,0.017499999999999998,00008858.jpg,30.98467044246567,0.8166204
0.05,0.017499999999999998,00008919.jpg,27.773009300744445,0.7452884
0.05,0.017499999999999998,00008937.jpg,29.02973646766402,0.7865119
0.05,0.017499999999999998,00009231.jpg,27.94727056031027,0.78525645
0.05,0.017499999999999998,00009252.jpg,27.993798186249705,0.78677416
0.1,0.06999999999999999,00000700.jpg,27.52533106147262,0.7228189
0.1,0.06999999999999999,00000734.jpg,31.124445927617206,0.82240677
0.1,0.06999999999999999,00000815.jpg,29.08761106248678,0.7451591
0.1,0.06999999999999999,00000893.jpg,33.12529740097453,0.8375333
0.1,0.06999999999999999,00000895.jpg,23.854121665576816,0.7228296
0.1,0.06999999999999999,00000942.jpg,29.42488446046294,0.76768225
0.1,0.06999999999999999,00001300.jpg,22.946679127474354,0.61975807
0.1,0.06999999999999999,00001446.jpg,28.928450272088657,0.7543748
0.1,0.06999999999999999,00001484.jpg,25.771917573219802,0.6668362
0.1,0.06999999999999999,00001549.jpg,22.029625081225714,0.5211163
0.1,0.06999999999999999,00001618.jpg,29.645548863443377,0.7435985
0.1,0.06999999999999999,00001750.jpg,26.281667387713007,0.61101264
0.1,0.06999999999999999,00001917.jpg,31.25192577126699,0.80073446
0.1,0.06999999999999999,00001936.jpg,31.515412772718566,0.7801165
0.1,0.06999999999999999,00001953.jpg,30.664153407318537,0.77614164
0.1,0.06999999999999999,00001960.jpg,30.221132470269325,0.7655652
0.1,0.06999999999999999,00002025.jpg,29.399581035108845,0.7581679
0.1,0.06999999999999999,00002035.jpg,27.984492240459,0.68567276
0.1,0.06999999999999999,00002066.jpg,32.46529389426598,0.831492
0.1,0.06999999999999999,00002068.jpg,27.706328548606898,0.72014016
0.1,0.06999999999999999,00002083.jpg,29.1000597006325,0.76206714
0.1,0.06999999999999999,00002194.jpg,30.567452179468624,0.7704611
0.1,0.06999999999999999,00002258.jpg,26.34098030310409,0.6608532
0.1,0.06999999999999999,00002281.jpg,27.862908757626972,0.7016272
0.1,0.06999999999999999,00002371.jpg,31.218687408293682,0.8071577
0.1,0.06999999999999999,00002645.jpg,28.34778286122086,0.73277736
0.1,0.06999999999999999,00002754.jpg,24.870898420996582,0.6228203
0.1,0.06999999999999999,00002920.jpg,27.027506259756912,0.6365669
0.1,0.06999999999999999,00003030.jpg,16.559669604903192,0.3962361
0.1,0.06999999999999999,00003059.jpg,20.120810379697094,0.66149914
0.1,0.06999999999999999,00003071.jpg,16.5219578120813,0.3136846
0.1,0.06999999999999999,00003096.jpg,26.06411153601296,0.56062585
0.1,0.06999999999999999,00003148.jpg,22.724450973176356,0.52959377
0.1,0.06999999999999999,00003301.jpg,24.558086835951727,0.66023964
0.1,0.06999999999999999,00003534.jpg,27.561118270762886,0.7635625
0.1,0.06999999999999999,00003865.jpg,27.45111664271199,0.74460644
0.1,0.06999999999999999,00003963.jpg,24.214211723711156,0.6675134
0.1,0.06999999999999999,00003976.jpg,27.663102589810823,0.6961832
0.1,0.06999999999999999,00004041.jpg,24.56014057060223,0.6819841
0.1,0.06999999999999999,00004189.jpg,28.142397604435644,0.744689
0.1,0.06999999999999999,00004207.jpg,27.270402111030585,0.7428482
0.1,0.06999999999999999,00004234.jpg,26.175649361164837,0.7382374
0.1,0.06999999999999999,00004239.jpg,27.30211907236737,0.7360452
0.1,0.06999999999999999,00004268.jpg,20.2486050154001,0.39016083
0.1,0.06999999999999999,00004320.jpg,26.49768853332304,0.7189038
0.1,0.06999999999999999,00004340.jpg,29.738852683308856,0.7900844
0.1,0.06999999999999999,00004410.jpg,26.57340358598357,0.72859365
0.1,0.06999999999999999,00004566.jpg,26.02601760020603,0.69238275
0.1,0.06999999999999999,00004575.jpg,27.675384285245524,0.75209886
0.1,0.06999999999999999,00004585.jpg,25.86835273436349,0.6923354
0.1,0.06999999999999999,00004668.jpg,25.770964309368807,0.63861567
0.1,0.06999999999999999,00004856.jpg,28.246442109786557,0.7906513
0.1,0.06999999999999999,00004905.jpg,27.19575219094313,0.7136848
0.1,0.06999999999999999,00004991.jpg,27.3493321048233,0.72504425
0.1,0.06999999999999999,00005011.jpg,27.17334784297917,0.7041011
0.1,0.06999999999999999,00005107.jpg,26.118604497560696,0.6576614
0.1,0.06999999999999999,00005317.jpg,25.562774826995167,0.634631
0.1,0.06999999999999999,00005378.jpg,28.038421027951014,0.7054811
0.1,0.06999999999999999,00005487.jpg,25.694987101473842,0.6522091
0.1,0.06999999999999999,00005725.jpg,28.621564344173464,0.68504936
0.1,0.06999999999999999,00005736.jpg,27.519376291636945,0.7241998
0.1,0.06999999999999999,00005893.jpg,26.4001132838945,0.6096892
0.1,0.06999999999999999,00007472.jpg,26.47135518590691,0.708654
0.1,0.06999999999999999,00007673.jpg,29.311957972181695,0.7918289
0.1,0.06999999999999999,00007911.jpg,28.493533538360197,0.736049
0.1,0.06999999999999999,00007995.jpg,24.27014931349971,0.68076277
0.1,0.06999999999999999,00008036.jpg,27.452991055097318,0.75506324
0.1,0.06999999999999999,00008103.jpg,29.224083763696555,0.75764257
0.1,0.06999999999999999,00008115.jpg,28.094780352505765,0.7243741
0.1,0.06999999999999999,00008209.jpg,31.468712847351107,0.81218576
0.1,0.06999999999999999,00008215.jpg,28.028074702266128,0.7584097
0.1,0.06999999999999999,00008400.jpg,28.113172100229328,0.67556524
0.1,0.06999999999999999,00008553.jpg,27.812851870330043,0.6414965
0.1,0.06999999999999999,00008710.jpg,26.235007640745774,0.6326819
0.1,0.06999999999999999,00008747.jpg,27.74002287276283,0.7299468
0.1,0.06999999999999999,00008858.jpg,28.978323949101995,0.7515354
0.1,0.06999999999999999,00008919.jpg,26.188461285176466,0.65456647
0.1,0.06999999999999999,00008937.jpg,27.291021505713967,0.71943563
0.1,0.06999999999999999,00009231.jpg,26.31333307816288,0.7130451
0.1,0.06999999999999999,00009252.jpg,26.230489505013132,0.7156859
